 DWS  (NON TE Data )Revenues,Service,Operator,Date,FY Budget,YTD Budget,YTD Actual,Year,Month,Day
NOL,ISP's Transmission ,Etisalat,2019/Nov/1,4879129,4879129,8292046,2019,Nov,1
EGY Net,ISP's Transmission ,Etisalat,2019/Nov/1,4754919,4754919,629707,2019,Nov,1
Noor,ISP's Transmission ,Others,2019/Nov/1,2177142,2177142,1945022,2019,Nov,1
Yalla Misr,ISP's Transmission ,Others,2019/Nov/1,37131,37131,39356,2019,Nov,1
VSAT,ISP's Transmission ,Others,2019/Nov/1,0,0,2743859,2019,Nov,1
 Colocation  Revenues,,,2019/Nov/1,47785711,47785711,51273170,2019,Nov,1
MNO's Colocation,,,2019/Nov/1,37437034,37437034,40234197,2019,Nov,1
Orange,MNO's Colocation,Orange,2019/Nov/1,10907745,10907745,11717694,2019,Nov,1
Vodafone,MNO's Colocation,Vodafone,2019/Nov/1,16462023,16462023,18090840,2019,Nov,1
Etisalat,MNO's Colocation,Etisalat,2019/Nov/1,10067265,10067265,10425663,2019,Nov,1
ISP's Colocation,,,2019/Nov/1,10348678,10348678,11038974,2019,Nov,1
Orange Data,ISP's Colocation,Orange,2019/Nov/1,4212183,4212183,4354965,2019,Nov,1
Vodafone Data,ISP's Colocation,Vodafone,2019/Nov/1,2315115,2315115,703247,2019,Nov,1
NOL,ISP's Colocation,Etisalat,2019/Nov/1,873480,873480,4080372,2019,Nov,1
EGY Net,ISP's Colocation,Etisalat,2019/Nov/1,2064635,2064635,1242546,2019,Nov,1
Noor,ISP's Colocation,Others,2019/Nov/1,836134,836134,609939,2019,Nov,1
Yalla Misr,ISP's Colocation,Others,2019/Nov/1,47130,47130,47905,2019,Nov,1
International Services,,,2019/Nov/1,9999903,9999903,-9422547,2019,Nov,1
IPT,,,2019/Nov/1,6999700,6999700,8774995,2019,Nov,1
Orange Data,IPT,Orange,2019/Nov/1,3628750,3628750,4035000,2019,Nov,1
Vodafone Data,IPT,Vodafone,2019/Nov/1,3370950,3370950,4740000,2019,Nov,1
NOL,IPT,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
EGY Net,IPT,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
Noor,IPT,Others,2019/Nov/1,0,0,0,2019,Nov,1
Yalla Misr,IPT,Others,2019/Nov/1,0,0,0,2019,Nov,1
IPLCs ,,,2019/Nov/1,3000203,3000203,-18197542,2019,Nov,1
Orange Data,IPLCs ,Orange,2019/Nov/1,272913,272913,-8643395,2019,Nov,1
Vodafone Data,IPLCs ,Vodafone,2019/Nov/1,1701355,1701355,81507,2019,Nov,1
NOL,IPLCs ,Etisalat,2019/Nov/1,0,0,1551848,2019,Nov,1
Etisalat,IPLCs ,Etisalat,2019/Nov/1,667320,667320,0,2019,Nov,1
Mena,IPLCs ,Others,2019/Nov/1,358614,358614,-11187502,2019,Nov,1
Others,IPLCs ,Others,2019/Nov/1,0,0,0,2019,Nov,1
 Access Service,,,2019/Nov/1,59311809,59311809,48961364,2019,Nov,1
Local Loop ,,,2019/Nov/1,3773539,3773539,5296069,2019,Nov,1
Orange Data,Local Loop ,Orange,2019/Nov/1,888748,888748,1488804,2019,Nov,1
Vodafone Data,Local Loop ,Vodafone,2019/Nov/1,1422263,1422263,554288,2019,Nov,1
NOL,Local Loop ,Etisalat,2019/Nov/1,504705,504705,1603903,2019,Nov,1
EGY Net,Local Loop ,Etisalat,2019/Nov/1,558227,558227,815296,2019,Nov,1
Noor,Local Loop ,Others,2019/Nov/1,396882,396882,831574,2019,Nov,1
Yalla Misr,Local Loop ,Others,2019/Nov/1,2714,2714,2205,2019,Nov,1
ADSL ,,,2019/Nov/1,2592236,2592236,1664965,2019,Nov,1
Orange Data,ADSL ,Orange,2019/Nov/1,1028341,1028341,660492,2019,Nov,1
Vodafone Data,ADSL ,Vodafone,2019/Nov/1,745243,745243,478662,2019,Nov,1
NOL,ADSL ,Etisalat,2019/Nov/1,5066,5066,3254,2019,Nov,1
EGY Net,ADSL ,Etisalat,2019/Nov/1,730003,730003,468873,2019,Nov,1
Noor,ADSL ,Others,2019/Nov/1,80481,80481,51692,2019,Nov,1
Yalla Misr,ADSL ,Others,2019/Nov/1,3102,3102,1992,2019,Nov,1
Bit stream ,,,2019/Nov/1,52946034,52946034,42000330,2019,Nov,1
Orange Data,Bit stream ,Orange,2019/Nov/1,15983213,15983213,12678952,2019,Nov,1
Vodafone Data,Bit stream ,Vodafone,2019/Nov/1,22811232,22811232,18095393,2019,Nov,1
NOL,Bit stream ,Etisalat,2019/Nov/1,1449,1449,1150,2019,Nov,1
EGY Net,Bit stream ,Etisalat,2019/Nov/1,12380090,12380090,9820714,2019,Nov,1
Noor,Bit stream ,Others,2019/Nov/1,1734849,1734849,1376198,2019,Nov,1
Yalla Misr,Bit stream ,Others,2019/Nov/1,35200,35200,27923,2019,Nov,1
FTTs,,,2019/Nov/1,0,0,0,2019,Nov,1
Orange,FTTs,Orange,2019/Nov/1,0,0,0,2019,Nov,1
Vodafone,FTTs,Vodafone,2019/Nov/1,0,0,0,2019,Nov,1
Etisalat,FTTs,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
Fiber Access,,,2019/Nov/1,0,0,0,2019,Nov,1
Orange Data,Fiber Access,Orange,2019/Nov/1,0,0,0,2019,Nov,1
Vodafone Data,Fiber Access,Vodafone,2019/Nov/1,0,0,0,2019,Nov,1
NOL,Fiber Access,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
EGY Net,Fiber Access,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
Noor,Fiber Access,Others,2019/Nov/1,0,0,0,2019,Nov,1
INT'L OG Voice services,,,2019/Nov/1,31351031,31351031,36075343,2019,Nov,1
INT'L OG ,,,2019/Nov/1,31351031,31351031,36075343,2019,Nov,1
Orange,INT'L OG ,Orange,2019/Nov/1,11643049,11643049,13961055,2019,Nov,1
Vodafone,INT'L OG ,Vodafone,2019/Nov/1,19707982,19707982,22114287,2019,Nov,1
Etisalat,INT'L OG ,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
FVNO ,,,2019/Nov/1,0,0,0,2019,Nov,1
Orange,FVNO ,Orange,2019/Nov/1,0,0,0,2019,Nov,1
Vodafone,FVNO ,Vodafone,2019/Nov/1,0,0,0,2019,Nov,1
Etisalat,FVNO ,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
ITFS,,,2019/Nov/1,0,0,0,2019,Nov,1
Orange,ITFS,Orange,2019/Nov/1,0,0,0,2019,Nov,1
Vodafone,ITFS,Vodafone,2019/Nov/1,0,0,0,2019,Nov,1
Etisalat,ITFS,Etisalat,2019/Nov/1,0,0,0,2019,Nov,1
Total  DWS Revenues ,,,2019/Dec/1,303534616,303534616,312856913,2019,Dec,1
 Infrastructure Revenues,,,2019/Dec/1,192394160,192394160,202919994,2019,Dec,1
 Transmission Revenues,,,2019/Dec/1,134607334,134607334,142426144,2019,Dec,1
MNO's Transmission,,,2019/Dec/1,98414199,98414199,109362498,2019,Dec,1
Orange,MNO's Transmission,Orange,2019/Dec/1,28545427,28545427,32447083,2019,Dec,1
Vodafone,MNO's Transmission,Vodafone,2019/Dec/1,59683657,59683657,62386656,2019,Dec,1
Etisalat,MNO's Transmission,Etisalat,2019/Dec/1,10185115,10185115,14528759,2019,Dec,1
TX IRU ,,,2019/Dec/1,0,0,0,2019,Dec,1
Orange,TX IRU ,Orange,2019/Dec/1,0,0,0,2019,Dec,1
Vodafone,TX IRU ,Vodafone,2019/Dec/1,0,0,0,2019,Dec,1
Etisalat,TX IRU ,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
ISP's Transmission ,,,2019/Dec/1,36193135,36193135,33063646,2019,Dec,1
Orange Data,ISP's Transmission ,Orange,2019/Dec/1,14748093,14748093,9456289,2019,Dec,1
Vodafone Data,ISP's Transmission ,Vodafone,2019/Dec/1,9596721,9596721,11544807,2019,Dec,1
NOL,ISP's Transmission ,Etisalat,2019/Dec/1,4879129,4879129,8301619,2019,Dec,1
EGY Net,ISP's Transmission ,Etisalat,2019/Dec/1,4754919,4754919,599713,2019,Dec,1
Noor,ISP's Transmission ,Others,2019/Dec/1,2177142,2177142,1843685,2019,Dec,1
Yalla Misr,ISP's Transmission ,Others,2019/Dec/1,37131,37131,39356,2019,Dec,1
VSAT,ISP's Transmission ,Others,2019/Dec/1,0,0,1278176,2019,Dec,1
 Colocation  Revenues,,,2019/Dec/1,47785711,47785711,51788816,2019,Dec,1
MNO's Colocation,,,2019/Dec/1,37437034,37437034,41005066,2019,Dec,1
Orange,MNO's Colocation,Orange,2019/Dec/1,10907745,10907745,12000330,2019,Dec,1
Vodafone,MNO's Colocation,Vodafone,2019/Dec/1,16462023,16462023,18247707,2019,Dec,1
Etisalat,MNO's Colocation,Etisalat,2019/Dec/1,10067265,10067265,10757029,2019,Dec,1
ISP's Colocation,,,2019/Dec/1,10348678,10348678,10783750,2019,Dec,1
Orange Data,ISP's Colocation,Orange,2019/Dec/1,4212183,4212183,4074951,2019,Dec,1
Vodafone Data,ISP's Colocation,Vodafone,2019/Dec/1,2315115,2315115,703247,2019,Dec,1
NOL,ISP's Colocation,Etisalat,2019/Dec/1,873480,873480,4081405,2019,Dec,1
EGY Net,ISP's Colocation,Etisalat,2019/Dec/1,2064635,2064635,1240390,2019,Dec,1
Noor,ISP's Colocation,Others,2019/Dec/1,836134,836134,635852,2019,Dec,1
Yalla Misr,ISP's Colocation,Others,2019/Dec/1,47130,47130,47905,2019,Dec,1
International Services,,,2019/Dec/1,10001115,10001115,8705034,2019,Dec,1
IPT,,,2019/Dec/1,6999975,6999975,8001700,2019,Dec,1
Orange Data,IPT,Orange,2019/Dec/1,3628990,3628990,4025000,2019,Dec,1
Vodafone Data,IPT,Vodafone,2019/Dec/1,3370985,3370985,3976700,2019,Dec,1
NOL,IPT,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
EGY Net,IPT,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
Noor,IPT,Others,2019/Dec/1,0,0,0,2019,Dec,1
Yalla Misr,IPT,Others,2019/Dec/1,0,0,0,2019,Dec,1
IPLCs ,,,2019/Dec/1,3001140,3001140,703334,2019,Dec,1
Orange Data,IPLCs ,Orange,2019/Dec/1,273913,273913,0,2019,Dec,1
Vodafone Data,IPLCs ,Vodafone,2019/Dec/1,1701355,1701355,81305,2019,Dec,1
NOL,IPLCs ,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
Etisalat,IPLCs ,Etisalat,2019/Dec/1,667257,667257,0,2019,Dec,1
Mena,IPLCs ,Others,2019/Dec/1,358614,358614,622029,2019,Dec,1
Others,IPLCs ,Others,2019/Dec/1,0,0,0,2019,Dec,1
 Access Service,,,2019/Dec/1,79789425,79789425,77335597,2019,Dec,1
Local Loop ,,,2019/Dec/1,3773539,3773539,5521018,2019,Dec,1
Orange Data,Local Loop ,Orange,2019/Dec/1,888748,888748,1566351,2019,Dec,1
Vodafone Data,Local Loop ,Vodafone,2019/Dec/1,1422263,1422263,579086,2019,Dec,1
NOL,Local Loop ,Etisalat,2019/Dec/1,504705,504705,1667500,2019,Dec,1
EGY Net,Local Loop ,Etisalat,2019/Dec/1,558227,558227,846304,2019,Dec,1
Noor,Local Loop ,Others,2019/Dec/1,396882,396882,859571,2019,Dec,1
Yalla Misr,Local Loop ,Others,2019/Dec/1,2714,2714,2205,2019,Dec,1
ADSL ,,,2019/Dec/1,2540391,2540391,1497142,2019,Dec,1
Orange Data,ADSL ,Orange,2019/Dec/1,1007774,1007774,593916,2019,Dec,1
Vodafone Data,ADSL ,Vodafone,2019/Dec/1,730338,730338,430414,2019,Dec,1
NOL,ADSL ,Etisalat,2019/Dec/1,4965,4965,2926,2019,Dec,1
EGY Net,ADSL ,Etisalat,2019/Dec/1,715403,715403,421612,2019,Dec,1
Noor,ADSL ,Others,2019/Dec/1,78872,78872,46482,2019,Dec,1
Yalla Misr,ADSL ,Others,2019/Dec/1,3040,3040,1791,2019,Dec,1
Bit stream ,,,2019/Dec/1,53475494,53475494,70317437,2019,Dec,1
Orange Data,Bit stream ,Orange,2019/Dec/1,16143045,16143045,21227248,2019,Dec,1
Vodafone Data,Bit stream ,Vodafone,2019/Dec/1,23039345,23039345,30295516,2019,Dec,1
NOL,Bit stream ,Etisalat,2019/Dec/1,1464,1464,1925,2019,Dec,1
EGY Net,Bit stream ,Etisalat,2019/Dec/1,12503891,12503891,16441953,2019,Dec,1
Noor,Bit stream ,Others,2019/Dec/1,1752198,1752198,2304047,2019,Dec,1
Yalla Misr,Bit stream ,Others,2019/Dec/1,35552,35552,46748,2019,Dec,1
FTTs,,,2019/Dec/1,20000000,20000000,0,2019,Dec,1
Orange,FTTs,Orange,2019/Dec/1,0,0,0,2019,Dec,1
Vodafone,FTTs,Vodafone,2019/Dec/1,20000000,20000000,0,2019,Dec,1
Etisalat,FTTs,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
Fiber Access,,,2019/Dec/1,0,0,0,2019,Dec,1
Orange Data,Fiber Access,Orange,2019/Dec/1,0,0,0,2019,Dec,1
Vodafone Data,Fiber Access,Vodafone,2019/Dec/1,0,0,0,2019,Dec,1
NOL,Fiber Access,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
EGY Net,Fiber Access,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
Noor,Fiber Access,Others,2019/Dec/1,0,0,0,2019,Dec,1
INT'L OG Voice services,,,2019/Dec/1,31351031,31351031,32601322,2019,Dec,1
INT'L OG ,,,2019/Dec/1,31351031,31351031,32601322,2019,Dec,1
Orange,INT'L OG ,Orange,2019/Dec/1,11643049,11643049,12228829,2019,Dec,1
Vodafone,INT'L OG ,Vodafone,2019/Dec/1,19707982,19707982,20372493,2019,Dec,1
Etisalat,INT'L OG ,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
FVNO ,,,2019/Dec/1,0,0,0,2019,Dec,1
Orange,FVNO ,Orange,2019/Dec/1,0,0,0,2019,Dec,1
Vodafone,FVNO ,Vodafone,2019/Dec/1,0,0,0,2019,Dec,1
Etisalat,FVNO ,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
ITFS,,,2019/Dec/1,0,0,0,2019,Dec,1
Orange,ITFS,Orange,2019/Dec/1,0,0,0,2019,Dec,1
Vodafone,ITFS,Vodafone,2019/Dec/1,0,0,0,2019,Dec,1
Etisalat,ITFS,Etisalat,2019/Dec/1,0,0,0,2019,Dec,1
Total  DWS Revenues ,,,2020/Jan/1,495391600,495391600,510418357,2020,Jan,1
 Infrastructure Revenues,,,2020/Jan/1,382588667,382588667,393327090,2020,Jan,1
 Transmission Revenues,,,2020/Jan/1,296000000,296000000,313374749,2020,Jan,1
MNO's Transmission,,,2020/Jan/1,134000000,134000000,123216766,2020,Jan,1
Orange,MNO's Transmission,Orange,2020/Jan/1,53333333,53333333,40851278,2020,Jan,1
Vodafone,MNO's Transmission,Vodafone,2020/Jan/1,66666667,66666667,67517572,2020,Jan,1
Etisalat,MNO's Transmission,Etisalat,2020/Jan/1,14000000,14000000,14847916,2020,Jan,1
TX IRU ,,,2020/Jan/1,125000000,125000000,154406400,2020,Jan,1
Orange,TX IRU ,Orange,2020/Jan/1,42000000,42000000,94256400,2020,Jan,1
Vodafone,TX IRU ,Vodafone,2020/Jan/1,0,0,0,2020,Jan,1
Etisalat,TX IRU ,Etisalat,2020/Jan/1,83000000,83000000,60150000,2020,Jan,1
ISP's Transmission ,,,2020/Jan/1,37000000,37000000,35751583,2020,Jan,1
Orange Data,ISP's Transmission ,Orange,2020/Jan/1,12075783,12075783,10760459,2020,Jan,1
Vodafone Data,ISP's Transmission ,Vodafone,2020/Jan/1,12986074,12986074,14040922,2020,Jan,1
NOL,ISP's Transmission ,Etisalat,2020/Jan/1,8011119,8011119,8054323,2020,Jan,1
EGY Net,ISP's Transmission ,Etisalat,2020/Jan/1,610109,610109,507399,2020,Jan,1
Noor,ISP's Transmission ,Others,2020/Jan/1,3280836,3280836,2273611,2020,Jan,1
Yalla Misr,ISP's Transmission ,Others,2020/Jan/1,36080,36080,24061,2020,Jan,1
VSAT,ISP's Transmission ,Others,2020/Jan/1,0,0,90809,2020,Jan,1
 Colocation  Revenues,,,2020/Jan/1,48922000,48922000,53924037,2020,Jan,1
MNO's Colocation,,,2020/Jan/1,40366667,40366667,42494768,2020,Jan,1
Orange,MNO's Colocation,Orange,2020/Jan/1,12221862,12221862,12283906,2020,Jan,1
Vodafone,MNO's Colocation,Vodafone,2020/Jan/1,17769463,17769463,18830030,2020,Jan,1
Etisalat,MNO's Colocation,Etisalat,2020/Jan/1,10375341,10375341,11380832,2020,Jan,1
ISP's Colocation,,,2020/Jan/1,8555333,8555333,11429269,2020,Jan,1
Orange Data,ISP's Colocation,Orange,2020/Jan/1,4100000,4100000,4292229,2020,Jan,1
Vodafone Data,ISP's Colocation,Vodafone,2020/Jan/1,1676667,1676667,4402919,2020,Jan,1
NOL,ISP's Colocation,Etisalat,2020/Jan/1,1433333,1433333,1342759,2020,Jan,1
EGY Net,ISP's Colocation,Etisalat,2020/Jan/1,962000,962000,721400,2020,Jan,1
Noor,ISP's Colocation,Others,2020/Jan/1,334333,334333,619900,2020,Jan,1
Yalla Misr,ISP's Colocation,Others,2020/Jan/1,49000,49000,50064,2020,Jan,1
International Services,,,2020/Jan/1,37666667,37666667,26028303,2020,Jan,1
IPT,,,2020/Jan/1,12666667,12666667,12062080,2020,Jan,1
Orange Data,IPT,Orange,2020/Jan/1,5000000,5000000,5854600,2020,Jan,1
Vodafone Data,IPT,Vodafone,2020/Jan/1,7666667,7666667,6207480,2020,Jan,1
NOL,IPT,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
EGY Net,IPT,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
Noor,IPT,Others,2020/Jan/1,0,0,0,2020,Jan,1
Yalla Misr,IPT,Others,2020/Jan/1,0,0,0,2020,Jan,1
IPLCs ,,,2020/Jan/1,25000000,25000000,13966223,2020,Jan,1
Orange Data,IPLCs ,Orange,2020/Jan/1,4000000,4000000,0,2020,Jan,1
Vodafone Data,IPLCs ,Vodafone,2020/Jan/1,16000000,16000000,12544512,2020,Jan,1
NOL,IPLCs ,Etisalat,2020/Jan/1,4000000,4000000,0,2020,Jan,1
Etisalat,IPLCs ,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
Mena,IPLCs ,Others,2020/Jan/1,1000000,1000000,1421711,2020,Jan,1
Others,IPLCs ,Others,2020/Jan/1,0,0,0,2020,Jan,1
 Access Service,,,2020/Jan/1,80469600,80469600,84164093,2020,Jan,1
Local Loop ,,,2020/Jan/1,4333333,4333333,5475318,2020,Jan,1
Orange Data,Local Loop ,Orange,2020/Jan/1,1265069,1265069,1545981,2020,Jan,1
Vodafone Data,Local Loop ,Vodafone,2020/Jan/1,1243616,1243616,1627497,2020,Jan,1
NOL,Local Loop ,Etisalat,2020/Jan/1,666667,666667,852321,2020,Jan,1
EGY Net,Local Loop ,Etisalat,2020/Jan/1,498517,498517,585871,2020,Jan,1
Noor,Local Loop ,Others,2020/Jan/1,656132,656132,861443,2020,Jan,1
Yalla Misr,Local Loop ,Others,2020/Jan/1,3333,3333,2205,2020,Jan,1
ADSL ,,,2020/Jan/1,1836667,1836667,1336160,2020,Jan,1
Orange Data,ADSL ,Orange,2020/Jan/1,712023,712023,514375,2020,Jan,1
Vodafone Data,ADSL ,Vodafone,2020/Jan/1,561714,561714,396105,2020,Jan,1
NOL,ADSL ,Etisalat,2020/Jan/1,489853,489853,376605,2020,Jan,1
EGY Net,ADSL ,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
Noor,ADSL ,Others,2020/Jan/1,72522,72522,48515,2020,Jan,1
Yalla Misr,ADSL ,Others,2020/Jan/1,556,556,560,2020,Jan,1
Bit stream ,,,2020/Jan/1,67299600,67299600,77352615,2020,Jan,1
Orange Data,Bit stream ,Orange,2020/Jan/1,17597527,17597527,19247275,2020,Jan,1
Vodafone Data,Bit stream ,Vodafone,2020/Jan/1,32784021,32784021,38537183,2020,Jan,1
NOL,Bit stream ,Etisalat,2020/Jan/1,15313995,15313995,17997120,2020,Jan,1
Noor,Bit stream ,Others,2020/Jan/1,1576098,1576098,1554853,2020,Jan,1
Yalla Misr,Bit stream ,Others,2020/Jan/1,27959,27959,16184,2020,Jan,1
FTTs,,,2020/Jan/1,7000000,7000000,0,2020,Jan,1
Orange,FTTs,Orange,2020/Jan/1,0,0,0,2020,Jan,1
Vodafone,FTTs,Vodafone,2020/Jan/1,7000000,7000000,0,2020,Jan,1
Etisalat,FTTs,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
Fiber Access,,,2020/Jan/1,0,0,0,2020,Jan,1
Orange Data,Fiber Access,Orange,2020/Jan/1,0,0,0,2020,Jan,1
Vodafone Data,Fiber Access,Vodafone,2020/Jan/1,0,0,0,2020,Jan,1
NOL,Fiber Access,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
EGY Net,Fiber Access,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
Noor,Fiber Access,Others,2020/Jan/1,0,0,0,2020,Jan,1
INT'L OG Voice services,,,2020/Jan/1,32333333,32333333,32927174,2020,Jan,1
INT'L OG ,,,2020/Jan/1,30333333,30333333,32927174,2020,Jan,1
Orange,INT'L OG ,Orange,2020/Jan/1,12333333,12333333,11858516,2020,Jan,1
Vodafone,INT'L OG ,Vodafone,2020/Jan/1,18000000,18000000,21068659,2020,Jan,1
Etisalat,INT'L OG ,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
FVNO ,,,2020/Jan/1,2000000,2000000,0,2020,Jan,1
Orange,FVNO ,Orange,2020/Jan/1,0,0,0,2020,Jan,1
Vodafone,FVNO ,Vodafone,2020/Jan/1,0,0,0,2020,Jan,1
Etisalat,FVNO ,Etisalat,2020/Jan/1,2000000,2000000,0,2020,Jan,1
ITFS,,,2020/Jan/1,0,0,0,2020,Jan,1
Orange,ITFS,Orange,2020/Jan/1,0,0,0,2020,Jan,1
Vodafone,ITFS,Vodafone,2020/Jan/1,0,0,0,2020,Jan,1
Etisalat,ITFS,Etisalat,2020/Jan/1,0,0,0,2020,Jan,1
Total  DWS Revenues ,,,2020/Feb/1,344000000,344000000,373962190,2020,Feb,1
 Infrastructure Revenues,,,2020/Feb/1,236166667,236166667,231988638,2020,Feb,1
 Transmission Revenues,,,2020/Feb/1,168000000,168000000,147233605,2020,Feb,1
MNO's Transmission,,,2020/Feb/1,134000000,134000000,120304422,2020,Feb,1
Orange,MNO's Transmission,Orange,2020/Feb/1,53333333,53333333,39523859,2020,Feb,1
Vodafone,MNO's Transmission,Vodafone,2020/Feb/1,66666667,66666667,67931002,2020,Feb,1
Etisalat,MNO's Transmission,Etisalat,2020/Feb/1,14000000,14000000,12849562,2020,Feb,1
TX IRU ,,,2020/Feb/1,0,0,-7563600,2020,Feb,1
Orange,TX IRU ,Orange,2020/Feb/1,0,0,-7563600,2020,Feb,1
Vodafone,TX IRU ,Vodafone,2020/Feb/1,0,0,0,2020,Feb,1
Etisalat,TX IRU ,Etisalat,2020/Feb/1,0,0,0,2020,Feb,1
ISP's Transmission ,,,2020/Feb/1,34000000,34000000,34492783,2020,Feb,1
Orange Data,ISP's Transmission ,Orange,2020/Feb/1,11075783,11075783,9203253,2020,Feb,1
Vodafone Data,ISP's Transmission ,Vodafone,2020/Feb/1,11986074,11986074,13695997,2020,Feb,1
NOL,ISP's Transmission ,Etisalat,2020/Feb/1,8011119,8011119,8659920,2020,Feb,1
EGY Net,ISP's Transmission ,Etisalat,2020/Feb/1,610109,610109,514932,2020,Feb,1
Noor,ISP's Transmission ,Others,2020/Feb/1,2280836,2280836,2267642,2020,Feb,1
Yalla Misr,ISP's Transmission ,Others,2020/Feb/1,36080,36080,26061,2020,Feb,1
VSAT,ISP's Transmission ,Others,2020/Feb/1,0,0,124978,2020,Feb,1
 Colocation  Revenues,,,2020/Feb/1,49000000,49000000,54506983,2020,Feb,1
MNO's Colocation,,,2020/Feb/1,40666667,40666667,43154921,2020,Feb,1
Orange,MNO's Colocation,Orange,2020/Feb/1,12321862,12321862,12763044,2020,Feb,1
Vodafone,MNO's Colocation,Vodafone,2020/Feb/1,17869463,17869463,18902293,2020,Feb,1
Etisalat,MNO's Colocation,Etisalat,2020/Feb/1,10475341,10475341,11489584,2020,Feb,1
ISP's Colocation,,,2020/Feb/1,8333333,8333333,11352061,2020,Feb,1
Orange Data,ISP's Colocation,Orange,2020/Feb/1,4000000,4000000,4292375,2020,Feb,1
Vodafone Data,ISP's Colocation,Vodafone,2020/Feb/1,1666667,1666667,4327205,2020,Feb,1
NOL,ISP's Colocation,Etisalat,2020/Feb/1,1333333,1333333,1342429,2020,Feb,1
EGY Net,ISP's Colocation,Etisalat,2020/Feb/1,952000,952000,721400,2020,Feb,1
Noor,ISP's Colocation,Others,2020/Feb/1,333333,333333,618588,2020,Feb,1
Yalla Misr,ISP's Colocation,Others,2020/Feb/1,48000,48000,50064,2020,Feb,1
International Services,,,2020/Feb/1,19166667,19166667,30248051,2020,Feb,1
IPT,,,2020/Feb/1,12666667,12666667,11486600,2020,Feb,1
Orange Data,IPT,Orange,2020/Feb/1,5000000,5000000,5372000,2020,Feb,1
Vodafone Data,IPT,Vodafone,2020/Feb/1,7666667,7666667,6114600,2020,Feb,1
NOL,IPT,Etisalat,2020/Feb/1,0,0,0,2020,Feb,1
EGY Net,IPT,Etisalat,2020/Feb/1,0,0,0,2020,Feb,1
Noor,IPT,Others,2020/Feb/1,0,0,0,2020,Feb,1
Yalla Misr,IPT,Others,2020/Feb/1,0,0,0,2020,Feb,1
IPLCs ,,,2020/Feb/1,6500000,6500000,18761451,2020,Feb,1
Orange Data,IPLCs ,Orange,2020/Feb/1,2000000,2000000,1534249,2020,Feb,1
Vodafone Data,IPLCs ,Vodafone,2020/Feb/1,3000000,3000000,13578780,2020,Feb,1
NOL,IPLCs ,Etisalat,2020/Feb/1,1000000,1000000,761453,2020,Feb,1
Etisalat,IPLCs ,Etisalat,2020/Feb/1,0,0,2276530,2020,Feb,1
Mena,IPLCs ,Others,2020/Feb/1,500000,500000,610439,2020,Feb,1
Others,IPLCs ,Others,2020/Feb/1,0,0,0,2020,Feb,1
 Access Service,,,2020/Feb/1,77500000,77500000,110489045,2020,Feb,1
Local Loop ,,,2020/Feb/1,4333333,4333333,5753380,2020,Feb,1
Orange Data,Local Loop ,Orange,2020/Feb/1,1265069,1265069,1715966,2020,Feb,1
Vodafone Data,Local Loop ,Vodafone,2020/Feb/1,1243616,1243616,1660544,2020,Feb,1
NOL,Local Loop ,Etisalat,2020/Feb/1,666667,666667,879406,2020,Feb,1
EGY Net,Local Loop ,Etisalat,2020/Feb/1,498517,498517,602293,2020,Feb,1
Noor,Local Loop ,Others,2020/Feb/1,656132,656132,892966,2020,Feb,1
Yalla Misr,Local Loop ,Others,2020/Feb/1,3333,3333,2205,2020,Feb,1
ADSL ,,,2020/Feb/1,1666667,1666667,1200270,2020,Feb,1
Orange Data,ADSL ,Orange,2020/Feb/1,612023,612023,452200,2020,Feb,1
Vodafone Data,ADSL ,Vodafone,2020/Feb/1,531714,531714,350090,2020,Feb,1
NOL,ADSL ,Etisalat,2020/Feb/1,459853,459853,353690,2020,Feb,1
EGY Net,ADSL ,Etisalat,2020/Feb/1,0,0,0,2020,Feb,1
Noor,ADSL ,Others,2020/Feb/1,62522,62522,43755,2020,Feb,1
Yalla Misr,ADSL ,Others,2020/Feb/1,556,556,535,2020,Feb,1
Bit stream ,,,2020/Feb/1,70000000,70000000,103535395,2020,Feb,1
Orange Data,Bit stream ,Orange,2020/Feb/1,18197927,18197927,26345619,2020,Feb,1
